,id,pickup_datetime,dropoff_datetime,trip_duration,origin,destination,status,dist,treq,ttrav,pax_id,VoT,delta,u,u_PT,ride_id,ttrav_sh,u_sh,kind,position,x_org,y_org,x_dest,y_dest
0,id2612759,2016-01-30 00:00:14,2016-01-30 00:07:28,434,42427797,42430384,0,2242,11,373,id2612759,0.0046,155.90291234180046,5.0788,999999,922,403,4.83384942,30,0,-73.9900676,40.7466658,-73.977196,40.764324
1,id0248356,2016-01-30 00:00:22,2016-01-30 00:09:06,524,42430358,42449961,0,1089,19,181,id0248356,0.0046,75.74891300559071,2.4661,999999,3,181,2.4661,1,0,-73.9804176,40.7599106,-73.9698433,40.7570938
2,id1936732,2016-01-30 00:00:41,2016-01-30 00:07:24,403,42452973,42442898,0,1464,38,244,id1936732,0.0046,101.74681706516816,3.3184000000000005,999999,4,244,3.3184000000000005,1,0,-73.9835911,40.7497076,-73.9786461,40.7410388
3,id1752284,2016-01-30 00:00:52,2016-01-30 00:16:16,924,42429412,42443336,0,5105,49,850,id1752284,0.0046,354.90052997134194,11.567499999999999,999999,743,997,10.863308484000001,21,0,-74.0074994,40.7409399,-73.9787995,40.7774164
4,id1354116,2016-01-30 00:01:29,2016-01-30 00:08:12,403,42428212,42435644,0,1519,86,253,id1354116,0.0046,105.5907036025018,3.4423000000000004,999999,7,253,3.4423000000000004,1,0,-73.9891678,40.7430453,-73.9934596,40.7521959
5,id2507312,2016-01-30 00:01:38,2016-01-30 00:12:44,666,7280430895,42439280,0,2529,95,421,id2507312,0.0046,175.82774946313316,5.7301,999999,8,421,5.7301,1,0,-73.9978539,40.7614297,-74.0039992,40.7428829
6,id2924903,2016-01-30 00:12:37,2016-01-30 00:25:46,789,7280430895,42446925,0,3549,754,591,id2924903,0.0046,246.7169252872257,8.0421,999999,722,591,7.977609588,21,1,-73.9978539,40.7614297,-73.9847586,40.7395037
7,id2154305,2016-01-30 00:01:41,2016-01-30 00:07:05,324,42449945,42430304,0,1566,98,261,id2154305,0.0046,108.8357346475774,3.5496,999999,9,261,3.5496,1,0,-73.9744614,40.7507646,-73.9877663,40.7497931
8,id0194599,2016-01-30 00:22:09,2016-01-30 00:27:17,308,42449918,42430304,0,1485,1326,247,id0194599,0.0046,103.27059303141486,3.3636999999999997,999999,125,247,3.3636999999999997,1,0,-73.9813061,40.7413442,-73.9877663,40.7497931
9,id0682626,2016-01-30 00:02:18,2016-01-30 00:10:02,464,42445498,42439834,0,2645,135,440,id0682626,0.0046,183.93251768970686,5.9915,999999,912,440,5.867804988,31,2,-73.996476,40.723686,-73.997434,40.741642
10,id0918445,2016-01-30 00:08:28,2016-01-30 00:12:08,220,42437909,42439834,0,863,505,143,id0918445,0.0046,60.084957573498116,1.9523,999999,42,143,1.9523,1,0,-74.0013688,40.7465084,-73.997434,40.741642
11,id2260099,2016-01-30 00:24:15,2016-01-30 00:31:21,426,42448558,42439834,0,2072,1452,345,id2260099,0.0046,144.0451877480689,4.695,999999,688,345,4.309410816,21,1,-73.9998695,40.7270026,-73.997434,40.741642
12,id3981293,2016-01-30 00:02:24,2016-01-30 00:09:32,428,42430333,42440022,0,1478,141,246,id3981293,0.0046,102.76266770933265,3.3486000000000002,999999,922,260,3.1466199479999997,30,1,-73.984118,40.754842,-73.980036,40.765521
13,id2983751,2016-01-30 00:02:31,2016-01-30 00:31:35,1744,4557517555,1919595911,0,2875,148,479,id2983751,0.0046,199.83160793335426,6.5159,999999,13,479,6.5159,1,0,-74.0059045,40.7402804,-73.987157,40.7224103
14,id1475428,2016-01-30 00:25:18,2016-01-30 00:43:33,1095,4557517555,596775870,0,4375,1515,729,id1475428,0.0046,304.08039590996106,9.9159,999999,760,729,8.98905042,21,1,-74.0059045,40.7402804,-73.9740877,40.7572227
15,id3607033,2016-01-30 00:02:35,2016-01-30 00:12:16,581,42428579,42442948,0,2910,152,485,id3607033,0.0046,202.24264867461707,6.596,999999,14,485,6.596,1,0,-73.9822554,40.771427,-73.9699017,40.7529834
16,id2028768,2016-01-30 00:02:49,2016-01-30 00:12:47,598,42428170,42434148,0,2088,166,348,id2028768,0.0046,145.11431286343657,4.7328,999999,15,348,4.7328,1,0,-73.9903368,40.7371276,-73.98309,40.726666
17,id1521520,2016-01-30 00:02:55,2016-01-30 00:06:19,204,42437305,1061531727,0,1350,172,225,id1521520,0.0046,93.82390917894605,3.0599999999999996,999999,16,225,3.0599999999999996,1,0,-73.9764355,40.7857321,-73.9707469,40.7959244
18,id1509157,2016-01-30 00:17:16,2016-01-30 00:23:02,346,42437305,1506445808,0,2425,1033,404,id1509157,0.0046,168.55697154037227,5.495900000000001,999999,1135,403,5.45600844,52,4,-73.9764355,40.7857321,-73.9661339,40.8047876
19,id2521219,2016-01-30 00:03:38,2016-01-30 00:14:47,669,4491359481,1061531596,0,5436,215,906,id2521219,0.0046,377.79760762722265,12.3216,999999,1135,1183,11.847578544,52,1,-73.9949335,40.7552917,-73.9698184,40.7971801
20,id3315109,2016-01-30 00:03:49,2016-01-30 00:20:02,973,4597668040,42440401,0,2750,226,458,id3315109,0.0046,191.16563991349517,6.2318,999999,19,458,6.2318,1,0,-73.9869016,40.7395407,-73.9837985,40.7215294
21,id2543631,2016-01-30 00:03:51,2016-01-30 00:11:36,465,42429657,42453187,0,2238,228,373,id2543631,0.0046,155.53919166109725,5.0728,999999,20,373,5.0728,1,0,-73.9918058,40.7385117,-73.9740144,40.7430901
22,id3984044,2016-01-30 00:16:28,2016-01-30 00:28:17,709,42429657,42431684,0,5029,985,838,id3984044,0.0046,349.53286746776155,11.398299999999999,999999,628,854,9.922708608,21,0,-73.9918058,40.7385117,-73.9578446,40.765235
23,id1665632,2016-01-30 00:04:02,2016-01-30 00:18:56,894,42456076,42428961,0,7419,239,1236,id1665632,0.0046,515.678798266871,16.8141,999999,588,1455,15.570004416,21,0,-73.9470373,40.7800573,-73.9450015,40.8341411
24,id3512390,2016-01-30 00:04:28,2016-01-30 00:21:15,1007,42428303,42439006,0,4868,265,811,id3512390,0.0046,338.3649285364638,11.032599999999999,999999,920,904,10.320678252,30,0,-73.9851384,40.7594263,-73.9803529,40.730428
25,id2199490,2016-01-30 00:26:03,2016-01-30 00:39:51,828,42436705,42439006,0,3910,1560,651,id2199490,0.0046,271.8275645717872,8.8596,999999,745,651,8.612407776,21,1,-73.9709918,40.7583747,-73.9803529,40.730428
26,id2550066,2016-01-30 00:04:32,2016-01-30 00:15:08,636,42435581,685164636,0,3062,269,510,id2550066,0.0046,212.84938781262935,6.939,999999,849,575,6.469983984,21,0,-74.0041378,40.7381289,-73.9754453,40.7329828
27,id0465780,2016-01-30 00:05:18,2016-01-30 00:07:54,156,5159433792,42457325,0,497,315,82,id0465780,0.0046,34.64825330720607,1.1227,999999,25,82,1.1227,1,0,-73.9962656,40.7219524,-73.9934284,40.7245091
28,id2356630,2016-01-30 00:05:23,2016-01-30 00:12:18,415,42435650,42428328,0,1645,320,274,id2356630,0.0046,114.34760179253678,3.7279,999999,743,274,3.438371796,21,1,-73.992079,40.754091,-73.9820384,40.7654683
